40,39,27,8.41,1.91,4.82,56,39,26,11.15,1.03,5.17,50,39,26,11.43,1.08,5.31,55,39,27,10.47,2.07,5.98,57,39,27,8.17,1.21,4.53,52,39,26,12.53,1.16,5.64,56,39,27,10.71,1.37,5.4,56,39,26,10.89,1.98,5.22,47,39,26,9.81,1.04,5.33,51,39,27,9.94,1.54,5.06
39,40,28,7.99,2.39,4.77,54,40,27,10.14,1.36,5.19,50,40,27,10.86,1.24,5.29,55,40,28,10.9,1.93,5.91,57,40,28,8.52,1.15,4.55,50,40,27,12.85,1.1,5.74,55,40,28,10.17,1.3,5.33,56,40,27,10.34,1.03,5.16,46,40,27,10.27,1.27,5.52,50,40,28,9.44,1.47,5.1
39,41,29,8.54,1.76,4.75,53,41,28,10.58,1.29,5.16,50,41,28,10.32,1.18,5.25,55,41,29,11.3,1.84,5.92,56,41,29,8.09,1.09,4.53,49,41,28,12.49,1.05,5.75,55,41,29,10.62,1.24,5.21,54,41,27,9.91,2.36,5.35,46,41,28,9.95,1.21,5.64,50,41,29,9.16,1.55,5.07
39,42,30,8.11,1.68,4.66,53,42,29,10.84,1.22,4.99,50,42,29,10.75,1.12,5.14,55,42,30,10.86,1.74,5.83,55,42,30,7.92,1.04,4.43,48,42,29,12.55,1.71,5.75,54,42,30,11.03,1.17,5.17,54,42,28,9.42,2.7,5.19,46,42,29,10.41,1.75,5.67,50,42,30,9.47,1.28,4.93
39,43,31,7.81,1.59,4.58,52,43,30,9.55,1.16,4.86,50,43,30,11.16,1.06,5.13,55,43,31,11.27,2.36,5.78,53,43,30,8.26,1.13,4.46,47,43,31,12.87,1.63,5.81,54,43,31,11.43,1.12,5.09,54,43,29,9.9,2.57,5.21,46,43,30,10.84,1.04,5.67,49,43,31,9.95,1.38,4.99
39,44,32,7.67,1.41,4.54,50,44,31,9.08,1.35,4.88,50,44,31,11.55,1.01,5.09,55,44,32,11.65,2.24,5.67,52,44,31,7.84,1.25,4.4,47,44,32,12.23,1.55,5.8,54,44,32,11.32,1.06,5.08,54,44,30,10.35,1.78,5.14,43,44,30,11.24,2.07,5.91,49,44,32,10.4,1.32,4.91
39,45,33,8.23,1.44,4.58,48,45,33,8.97,1.29,4.97,49,45,32,10.98,1.5,5.12,55,45,33,12.02,1.9,5.45,49,45,32,8.4,1.19,4.61,47,45,33,11.03,1.12,5.77,54,45,33,11.27,1.01,5.07,54,45,31,10.79,1.65,5.13,43,45,31,11.63,1.97,5.88,48,45,32,10.83,1.25,4.91
39,46,34,8.77,1.37,4.52,46,46,34,9.46,1.22,5.04,49,46,33,10.43,1.42,5.1,54,46,34,10.55,2.33,5.38,48,46,33,8.83,1.13,4.53,46,46,34,11.43,1.39,5.85,53,46,35,11.65,1.93,5.16,51,46,33,11.2,2.2,5.4,43,46,32,12,1.28,5.9,48,46,33,10.29,1.19,4.94
38,47,35,9.28,1.36,4.72,46,47,35,9.51,1.16,4.97,49,47,34,9.91,1.31,5.02,54,47,35,10.98,1.52,5.33,48,47,34,9.34,2.02,4.62,44,47,35,10.86,1.39,5.93,52,47,36,11.07,2.43,5.23,51,47,34,11.59,2.09,5.37,43,47,33,12.35,1.84,5.87,47,47,34,10.72,1.13,5.08
38,48,36,9.77,1.01,4.73,45,48,36,9.99,1.1,4.83,48,48,35,9.41,1.28,5.08,53,48,36,10.43,1.34,5.27,48,48,35,8.87,1.3,4.73,44,48,36,11.26,1.32,5.81,52,48,37,11.47,1.4,5.28,51,48,35,11.96,1.99,5.29,42,48,34,12.68,1.84,5.89,47,48,35,11.14,1.08,5.05
37,49,38,9.28,1.23,4.85,43,49,37,9.49,1.05,4.89,48,49,36,9.89,1.22,5.06,53,49,37,9.15,1.27,5.2,48,49,36,9.38,1.23,4.75,43,49,37,11.65,1.26,5.96,52,49,38,11.85,1.62,5.31,51,49,36,12.31,1.89,5.32,42,49,35,12.05,1,5.93,46,49,36,11.53,1.2,5.16
39,50,26,8.82,3.64,5.58,43,50,26,9.02,4.31,5.72,49,50,24,9.4,3.86,5.76,54,50,25,8.69,3.74,5.57,51,50,26,8.91,3.47,5.36,45,50,26,11.07,4.49,6.37,54,50,26,12.2,4.09,5.98,54,50,26,10.74,4.32,5.77,43,50,25,12.4,4.85,6.46,46,50,26,10.95,3.83,5.89
39,51,27,9.21,3.25,5.52,43,51,27,9.05,3.15,5.57,49,51,25,9.88,2.99,5.72,54,51,26,8.26,2.8,5.34,51,51,27,9.42,3.29,5.39,45,51,27,10.52,3.8,6.26,54,51,27,12.54,3.11,5.87,54,51,27,9.26,3.8,5.71,43,51,26,11.78,3.8,6.3,46,51,27,11.36,3.64,5.92
39,52,28,9.7,2.14,5.39,43,52,28,9.55,2.04,5.45,49,52,26,9.38,2.66,5.54,54,52,27,7.85,1.71,5.06,51,52,28,9.9,3.13,5.4,45,52,28,10.12,2.66,6.1,54,52,28,11.92,2.01,5.7,54,52,28,8.79,3.1,5.58,43,52,27,11.54,3.43,6.09,46,52,28,11.74,2.5,5.96
39,53,29,9.21,2.53,5.24,43,53,29,9.07,1.94,5.4,49,53,27,8.97,1.75,5.28,53,53,28,8.4,1.69,5.06,51,53,29,10.35,2.97,5.46,45,53,29,10.56,1.58,5.86,54,53,29,11.32,1.58,5.66,54,53,29,8.89,2.59,5.55,43,53,28,10.97,2.52,6.05,46,53,29,11.15,3.03,5.97
39,54,30,9.7,2.4,5.25,43,54,30,8.61,2.4,5.39,48,54,28,8.52,2.31,5.16,51,54,29,8.04,1.06,5.1,51,54,30,10.78,2.8,5.47,45,54,30,10.98,2.31,5.67,53,54,31,10.75,2.62,5.79,54,54,30,9.4,1.51,5.43,43,54,29,10.42,1.44,5.84,46,54,30,10.75,2.18,6.02
39,55,31,10.17,2.28,5.33,43,55,31,8.18,2.92,5.3,48,55,29,9.04,2.2,5.14,50,55,30,8.54,1.25,5.09,51,55,31,11.19,1.71,5.47,45,55,31,11.38,2.02,5.55,53,55,32,11.14,2.48,5.65,53,55,30,8.93,1.55,5.43,43,55,30,9.9,1.37,5.77,46,55,31,11.17,1.12,5.91
39,56,32,9.66,1.82,5.3,43,56,32,8.14,2.77,5.28,48,56,30,9.54,1.78,5.14,50,56,31,8.62,1.69,5.01,51,56,32,10.63,1.63,5.44,45,56,32,10.81,1.77,5.4,53,56,33,11.53,2.66,5.76,52,56,31,9.29,1.48,5.49,43,56,31,9.36,1.3,5.81,46,56,32,10.61,1.06,5.84
38,57,33,10.12,2.38,5.3,43,57,33,8.37,2.39,5.12,48,57,31,9.06,1.63,5.06,50,57,32,9.14,1.61,4.97,51,57,33,10.39,1.55,5.43,44,57,32,10.27,1.03,5.26,53,57,34,10.96,2.52,5.7,52,57,32,8.82,1.4,5.42,43,57,32,9.61,1.24,5.74,46,57,33,9.81,1.04,5.67
38,58,34,10.57,2.26,5.36,43,58,34,8.21,1.39,4.89,47,58,32,9.56,1.55,5.06,50,58,33,9.64,1.53,4.93,51,58,34,10.82,2.3,5.46,43,58,34,10.71,1.38,5.15,53,58,35,10.41,2.16,5.69,52,58,33,8.9,1.33,5.28,42,58,32,10.08,2.51,5.76,46,58,34,9.32,1.35,5.61
38,59,35,10.13,1.69,5.19,42,59,35,7.8,1.32,4.87,47,59,33,9.08,1.23,5.09,50,59,34,10.1,1.54,4.74,51,59,35,11.23,2.22,5.39,43,59,35,11.12,1.42,5.03,53,59,36,9.89,2.05,5.6,51,59,33,8.5,1.27,5.3,42,59,33,10.52,1.44,5.63,45,59,35,9.81,1.29,5.64
37,60,36,10.58,1.14,5.41,42,60,36,8.1,1.26,4.76,46,60,34,9.24,1.15,5.22,50,60,35,9.6,1.22,4.69,51,60,36,11.33,1.16,5.21,42,60,35,10.57,1.42,4.92,53,60,37,9.39,1.58,5.52,51,60,34,8.41,2.04,5.22,42,60,34,10,1.37,5.48,44,60,37,10.27,1.22,5.88
35,61,36,11,1.08,5.55,42,61,37,8.64,1.19,4.68,45,61,35,9.73,1.33,5.19,50,61,36,9.12,1.39,4.52,50,61,38,10.77,1.11,5.11,42,61,36,10.99,1.27,4.68,52,61,38,9.78,1.62,5.52,51,61,35,8.45,1.07,5.17,42,61,35,9.5,1.3,5.32,44,61,38,10.7,1.16,5.95
35,62,37,11.4,1.03,5.33,42,62,38,8.65,1.14,4.6,44,62,37,9.24,1.79,5.23,50,62,37,8.66,1.32,4.5,49,62,39,10.23,1.11,5.19,40,62,38,10.44,1.21,4.86,51,62,39,10.24,1.76,5.61,50,62,37,8.18,1.12,5.27,42,62,36,9.55,1.23,5.31,43,62,38,11.12,1.21,5.93
